Crop	Condition/Disease	Description	Treatment/Care_Tips
Rice	Healthy	Rice growing without disease.	Timely irrigation, weed control, proper spacing. rice_leaf
Rice	Leaf_Blast	Fungal disease causing spindle-shaped lesions.	Resistant varieties, fungicide sprays, avoid excess nitrogen.
Rice	Neck_Blast	Severe blast disease at panicle base.	Resistant varieties, fungicides, field sanitation.
Strawberry	Healthy	Healthy strawberry plants.	Mulching, irrigation management, remove old leaves. strawberry_leaf
Strawberry	Strawberry___Leaf_scorch	Fungal disease causing burnt-looking leaves.	Remove infected leaves, fungicide sprays, crop rotation.
Sugarcane	Bacterial_Blight	Bacterial disease causing leaf streaks.	Use healthy setts, resistant varieties, crop rotation.
Sugarcane	Healthy	Healthy sugarcane plants.	Irrigation scheduling, weed management, soil fertility improvement. sugarcane_leaf
Sugarcane	Red_Rot	Fungal disease causing red discoloration inside stalks.	Resistant varieties, remove infected clumps, crop rotation.
Tomato	Tomato___Bacterial_spot	Bacterial disease with small water-soaked lesions.	Copper sprays, crop rotation, resistant seeds.
Tomato	Tomato___Early_blight	Fungal disease causing concentric brown spots.	Remove infected leaves, fungicides, crop rotation.
Tomato	Healthy	Tomato plant without disease.	Proper staking, irrigation, pest monitoring.
Tomato	Tomato___Late_blight	Deadly fungal disease causing leaf and fruit rot.	Fungicide sprays, resistant varieties, remove infected plants.
Tomato	Tomato___Leaf_Mold	Fungal disease causing yellow patches and mold under leaves.	Improve airflow, resistant varieties, fungicide sprays.
Tomato	Tomato___Septoria_leaf_spot	Fungal disease causing small circular leaf spots.	Remove infected leaves, fungicide sprays, crop rotation.
Tomato	Tomato___Spider_mites Two-spotted_spider_mite	Insect pests causing stippling and webbing.	Neem oil, miticides, encourage predatory mites.
Tomato	Tomato___Target_Spot	Fungal disease causing concentric spots on leaves.	Fungicide sprays, crop rotation, remove infected debris.
Tomato	Tomato___Tomato_Yellow_Leaf_Curl_Virus	Viral disease causing yellow curled leaves.	Use resistant varieties, control whiteflies, remove infected plants.
Tomato	Tomato___Tomato_mosaic_virus	Viral disease causing mottled, distorted leaves.	Use virus-free seeds, disinfect tools, resistant varieties.
Wheat	Brown_Rust	Fungal disease with brown pustules on leaves.	Resistant varieties, fungicide sprays, crop rotation.
Wheat	Healthy	Wheat growing without disease.	Balanced fertilizer, irrigation, pest monitoring. wheat_leaf
Wheat	Yellow_Rust	Fungal disease producing yellow stripe-like pustules.	Resistant varieties, fungicide sprays, crop monitoring.
